loss,accuracy,val_loss,val_accuracy,lr
1.1353763341903687,0.2222222238779068,1.1488983631134033,0.3333333432674408,0.0010000000474974513
1.115614652633667,0.3333333432674408,1.1483842134475708,0.3333333432674408,0.0010000000474974513
1.1318901777267456,0.2777777910232544,1.14787757396698,0.3333333432674408,0.0010000000474974513
1.084145426750183,0.3888888955116272,1.1475780010223389,0.3333333432674408,0.0010000000474974513
1.1651496887207031,0.2222222238779068,1.146956443786621,0.3333333432674408,0.0010000000474974513
1.104365587234497,0.3333333432674408,1.1463401317596436,0.3333333432674408,0.0010000000474974513
1.1276156902313232,0.2777777910232544,1.1457873582839966,0.3333333432674408,0.0010000000474974513
1.0948541164398193,0.3333333432674408,1.1453300714492798,0.3333333432674408,0.0010000000474974513
1.1150250434875488,0.3333333432674408,1.144798755645752,0.3333333432674408,0.0010000000474974513
1.1490811109542847,0.2777777910232544,1.1443020105361938,0.3333333432674408,0.0010000000474974513
